Company Name,Address,City,State,Industry,Square Feet,Year Built,Energy Cost,Contact Name,Contact Email,Contact Phone,Contact Title
PLDT Headquarters,Ramon Cojuangco Bldg Makati,Makati City,Metro Manila,office,350000,1978,"$1800000",Building Mgmt,bldgmgmt@pldt.com.ph,+63-2-8816-0711,Building Manager
Globe Telecom Tower,32nd St BGC,Taguig,Metro Manila,office,320000,2012,"$1500000",Facilities,facilities@globe.com.ph,+63-2-7730-1000,Facilities Manager
Meralco Compound,Ortigas Ave,Pasig City,Metro Manila,office,600000,1968,"$2800000",Facilities Mgmt,facilities@meralco.com.ph,+63-2-8631-2222,Director Facilities
Philippine Stock Exchange Tower,5th Ave BGC,Taguig,Metro Manila,office,450000,2018,"$1600000",Building Ops,ops@psetower.com,+63-2-8819-4100,Operations Manager
One Corporate Center,Dona Julia Vargas Ave,Pasig City,Metro Manila,office,380000,2008,"$1500000",Property Mgmt,propmgmt@onecorp.com.ph,+63-2-8706-7888,Property Manager
Insular Life Corporate Center,Insular Life Dr,Muntinlupa,Metro Manila,office,300000,2003,"$1200000",Facilities,facilities@insularlife.com.ph,+63-2-8582-1818,Facilities Head
Centuria Medical Makati,Kalayaan Ave,Makati City,Metro Manila,healthcare,250000,2017,"$1800000",Building Mgmt,bldgmgmt@centuriamedical.com,+63-2-8519-2222,Building Manager
World Citi Medical Center,Aurora Blvd,Quezon City,Metro Manila,healthcare,200000,1989,"$1400000",Engineering,engineering@worldciti.com,+63-2-8913-2222,Chief Engineer
Chinese General Hospital,Blumentritt Road,Manila,Metro Manila,healthcare,350000,1921,"$2400000",Facilities,facilities@cghmc.com.ph,+63-2-8711-4141,Facilities Director
Perpetual Help Medical Center,Las Pinas,Las Pinas,Metro Manila,healthcare,280000,1995,"$1900000",Engineering,engineering@perpetualhelp.com,+63-2-8874-0636,Plant Engineer
SM Aura Premier,26th St corner McKinley Parkway,Taguig,Metro Manila,retail,800000,2013,"$3200000",Operations,ops@smaura.com.ph,+63-2-8828-2728,Operations Director
Venice Grand Canal Mall,McKinley Hill,Taguig,Metro Manila,retail,350000,2015,"$1400000",Property Mgmt,propmgmt@venicegrandcanal.com,+63-2-8868-7000,Property Manager
Uptown Mall BGC,36th St corner 9th Ave,Taguig,Metro Manila,retail,600000,2015,"$2400000",Facilities,facilities@uptownmall.com.ph,+63-2-8862-8800,Facilities Manager
Vertis North Mall,EDSA,Quezon City,Metro Manila,retail,700000,2018,"$2800000",Building Ops,ops@vertisnorth.com,+63-2-8901-5555,Operations Manager
Glorietta Mall,Ayala Center,Makati City,Metro Manila,retail,950000,1992,"$3800000",Engineering,engineering@glorietta.com,+63-2-8752-4346,Chief Engineer
Alabang Town Center,Alabang-Zapote Rd,Muntinlupa,Metro Manila,retail,550000,1994,"$2200000",Facilities,facilities@alabangtc.com,+63-2-8809-5050,Facilities Manager
Conrad Manila,Seaside Blvd MOA Complex,Pasay City,Metro Manila,hospitality,350000,2016,"$2400000",Engineering,engineering@conradmanila.com,+63-2-8833-9999,Chief Engineer
New World Makati Hotel,Esperanza St corner Makati Ave,Makati City,Metro Manila,hospitality,280000,1994,"$1900000",Facilities,facilities@newworldmakati.com,+63-2-8811-6888,Facilities Manager
Holiday Inn Manila Galleria,1 ADB Avenue,Pasig City,Metro Manila,hospitality,200000,2013,"$1400000",Engineering,engineering@himanilagalleria.com,+63-2-8633-7111,Building Engineer
Dusit Thani Manila,Ayala Center,Makati City,Metro Manila,hospitality,250000,2008,"$1700000",Facilities,facilities@dusit.com.ph,+63-2-8238-8888,Director Engineering
Hyatt Regency Manila,City of Dreams,Paranaque,Metro Manila,hospitality,300000,2017,"$2100000",Engineering,engineering@hyattmanila.com,+63-2-8691-1234,Chief Engineer
EDSA Shangri-La Manila,1 Garden Way,Mandaluyong,Metro Manila,hospitality,400000,1992,"$2800000",Facilities Mgmt,facilities@edsa.shangri-la.com,+63-2-8633-8888,Director of Engineering
Accenture Tower BGC,30th St,Taguig,Metro Manila,office,350000,2017,"$1400000",Facilities,facilities@accenturetower.com,+63-2-8841-0000,Facilities Manager
Convergys BGC Office,32nd St,Taguig,Metro Manila,office,280000,2010,"$1300000",Admin,admin@convergys-bgc.com,+63-2-8830-5000,Office Manager
McKinley Exchange,McKinley Rd,Taguig,Metro Manila,office,250000,2012,"$1100000",Building Mgmt,bldgmgmt@mckinleyexchange.com,+63-2-8869-0000,Building Manager
Pacific Star Building,Gil Puyat Ave corner Makati Ave,Makati City,Metro Manila,office,320000,1989,"$1400000",Property Admin,admin@pacificstar.com.ph,+63-2-8811-1888,Property Director
